2022-06-04 22:47:13.559 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:48:47.672 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:48:47.680 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 10136 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:48:47.680 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:48:49.051 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 22:48:49.067 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 22:48:49.067 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 22:48:49.067 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 22:48:49.270 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 22:48:49.270 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1515 ms
2022-06-04 22:48:49.355 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:48:49.787 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 22:48:49.803 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 22:48:49.825 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 3.02 seconds (JVM running for 4.811)
2022-06-04 22:51:47.452 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 4000 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:51:47.452 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:51:47.468 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:51:48.787 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 22:51:48.803 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 22:51:48.804 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 22:51:48.804 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 22:51:48.987 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 22:51:48.987 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1457 ms
2022-06-04 22:51:49.072 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:51:49.442 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 22:51:49.458 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 22:51:49.473 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 2.759 seconds (JVM running for 4.091)
2022-06-04 22:51:51.539 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-04 22:51:51.539 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-04 22:51:51.539 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:54:49.762 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:54:49.762 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 572 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:54:49.762 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:54:51.158 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:54:52.337 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:54:52.337 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:54:52.337 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:54:52.367 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.404 seconds (JVM running for 5.422)
2022-06-04 22:55:59.756 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:55:59.771 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 5476 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:55:59.771 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:56:01.075 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:56:02.170 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:56:02.170 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:56:02.172 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2022-06-04 22:56:02.192 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.153 seconds (JVM running for 5.072)
2022-06-04 22:57:00.408 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:57:00.408 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 428 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:57:00.408 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:57:01.719 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:57:03.039 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:57:03.039 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:57:03.041 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2022-06-04 22:57:03.071 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.384 seconds (JVM running for 5.416)
2022-06-04 22:58:31.037 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:58:31.053 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 6168 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:58:31.053 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:58:32.375 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:58:33.574 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:58:33.574 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2022-06-04 22:58:33.574 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:58:33.602 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.293 seconds (JVM running for 5.485)
2022-06-04 22:59:44.372 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 22:59:44.388 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Starting Tester using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 8340 (started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 22:59:44.389 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - No active profile set, falling back to 1 default profile: "default"
2022-06-04 22:59:45.835 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 22:59:47.063 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2022-06-04 22:59:47.063 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
